S40921A,"Unspecified superficial injury of right upper arm, initial encounter"
S40921D,"Unspecified superficial injury of right upper arm, subsequent encounter"
S40921S,"Unspecified superficial injury of right upper arm, sequela"
S40922A,"Unspecified superficial injury of left upper arm, initial encounter"
S40922D,"Unspecified superficial injury of left upper arm, subsequent encounter"
S40922S,"Unspecified superficial injury of left upper arm, sequela"
S40929A,"Unspecified superficial injury of unspecified upper arm, initial encounter"
S40929D,"Unspecified superficial injury of unspecified upper arm, subsequent encounter"
S40929S,"Unspecified superficial injury of unspecified upper arm, sequela"
S41001A,"Unspecified open wound of right shoulder, initial encounter"
S41001D,"Unspecified open wound of right shoulder, subsequent encounter"
S41001S,"Unspecified open wound of right shoulder, sequela"
S41002A,"Unspecified open wound of left shoulder, initial encounter"
S41002D,"Unspecified open wound of left shoulder, subsequent encounter"
S41002S,"Unspecified open wound of left shoulder, sequela"
S41009A,"Unspecified open wound of unspecified shoulder, initial encounter"
S41009D,"Unspecified open wound of unspecified shoulder, subsequent encounter"
S41009S,"Unspecified open wound of unspecified shoulder, sequela"
S41011A,"Laceration without foreign body of right shoulder, initial encounter"
S41011D,"Laceration without foreign body of right shoulder, subsequent encounter"
S41011S,"Laceration without foreign body of right shoulder, sequela"
S41012A,"Laceration without foreign body of left shoulder, initial encounter"
S41012D,"Laceration without foreign body of left shoulder, subsequent encounter"
S41012S,"Laceration without foreign body of left shoulder, sequela"
S41019A,"Laceration without foreign body of unspecified shoulder, initial encounter"
S41019D,"Laceration without foreign body of unspecified shoulder, subsequent encounter"
S41019S,"Laceration without foreign body of unspecified shoulder, sequela"
S41021A,"Laceration with foreign body of right shoulder, initial encounter"
S41021D,"Laceration with foreign body of right shoulder, subsequent encounter"
S41021S,"Laceration with foreign body of right shoulder, sequela"
S41022A,"Laceration with foreign body of left shoulder, initial encounter"
S41022D,"Laceration with foreign body of left shoulder, subsequent encounter"
S41022S,"Laceration with foreign body of left shoulder, sequela"
S41029A,"Laceration with foreign body of unspecified shoulder, initial encounter"
S41029D,"Laceration with foreign body of unspecified shoulder, subsequent encounter"
S41029S,"Laceration with foreign body of unspecified shoulder, sequela"
S41031A,"Puncture wound without foreign body of right shoulder, initial encounter"
