T535X2D,"Toxic effect of chlorofluorocarbons, intentional self-harm, subsequent encounter"
T535X2S,"Toxic effect of chlorofluorocarbons, intentional self-harm, sequela"
T535X3A,"Toxic effect of chlorofluorocarbons, assault, initial encounter"
T535X3D,"Toxic effect of chlorofluorocarbons, assault, subsequent encounter"
T535X3S,"Toxic effect of chlorofluorocarbons, assault, sequela"
T535X4A,"Toxic effect of chlorofluorocarbons, undetermined, initial encounter"
T535X4D,"Toxic effect of chlorofluorocarbons, undetermined, subsequent encounter"
T535X4S,"Toxic effect of chlorofluorocarbons, undetermined, sequela"
T536X1A,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, accidental (unintentional), initial encounter"
T536X1D,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, accidental (unintentional), subsequent encounter"
T536X1S,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, accidental (unintentional), sequela"
T536X2A,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, initial encounter"
T536X2D,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, subsequent encounter"
T536X2S,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm, sequela"
T536X3A,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, assault, initial encounter"
T536X3D,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, assault, subsequent encounter"
T536X3S,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, assault, sequela"
T536X4A,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, undetermined, initial encounter"
T536X4D,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, undetermined, subsequent encounter"
T536X4S,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, undetermined, sequela"
T537X1A,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, accidental (unintentional), initial encounter"
T537X1D,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, accidental (unintentional), subsequent encounter"
T537X1S,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, accidental (unintentional), sequela"
T537X2A,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, initial encounter"
T537X2D,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, subsequent encounter"
T537X2S,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm, sequela"
T537X3A,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, assault, initial encounter"
T537X3D,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, assault, subsequent encounter"
T537X3S,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, assault, sequela"
T537X4A,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, undetermined, initial encounter"
T537X4D,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, undetermined, subsequent encounter"
T537X4S,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, undetermined, sequela"
T5391XA,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, accidental (unintentional), initial encounter"
T5391XD,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, accidental (unintentional), subsequent encounter"
